model,seed,run_id,params,best_epoch,train_seconds,infer_seconds,test_loss,test_accuracy,macro_f1,weighted_f1,lr,weight_decay,checkpoint_path,report_path
convmixer_128_8,43,convmixer_config_sweep_v1,228493.0,18,221.35416466101015,0.3194696520076832,0.15360000525591508,96.47577092511013,0.9648720623865865,0.9647893026400869,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_128_8_seed43_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_128_8_seed43_report.json
convmixer_128_8,44,convmixer_config_sweep_v1,228493.0,21,202.718294418999,0.20171600100002252,0.13966506026918069,95.81497797356829,0.9579996999185615,0.9581257841138002,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_128_8_seed44_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_128_8_seed44_report.json
convmixer_256_12,43,convmixer_config_sweep_v1,1070349.0,22,584.464752401007,0.46188575599808246,0.15123560671151307,95.37444933920705,0.9535482557675936,0.9536964103945325,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_12_seed43_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_12_seed43_report.json
convmixer_256_12,44,convmixer_config_sweep_v1,1070349.0,25,568.9013717859925,0.4347583970084088,0.1151128247257778,97.13656387665198,0.9714586313878174,0.9712759707764272,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_12_seed44_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_12_seed44_report.json
convmixer_256_8,43,convmixer_config_sweep_v1,719117.0,25,385.3579340180004,0.4018654039973626,0.12432209341786801,96.69603524229075,0.9668403373677183,0.9669940072761536,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_8_seed43_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_8_seed43_report.json
convmixer_256_8,44,convmixer_config_sweep_v1,719117.0,11,273.8848208690033,0.3454686649929499,0.143873291972947,96.69603524229075,0.9669491769311486,0.9669007081166363,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_8_seed44_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_256_8_seed44_report.json
convmixer_512_12,43,convmixer_config_sweep_v1,3713549.0,25,1220.7608161690005,0.9890148970007431,0.131116306592412,96.69603524229075,0.9669968001412136,0.9669344357539851,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_12_seed43_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_12_seed43_report.json
convmixer_512_12,44,convmixer_config_sweep_v1,3713549.0,19,1216.6604538880056,0.9782297599886078,0.13243459234557425,97.13656387665198,0.9714398270318821,0.9713640085418294,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_12_seed44_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_12_seed44_report.json
convmixer_512_16,43,convmixer_config_sweep_v1,4940301.0,25,1596.787812701994,1.4361786619992927,0.13652274916433574,96.25550660792952,0.9623086430155177,0.9624069113534628,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_16_seed43_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_16_seed43_report.json
convmixer_512_16,44,convmixer_config_sweep_v1,4940301.0,22,1624.5321615369903,1.580368777998956,0.14116324237159764,96.47577092511013,0.9647594289112897,0.9647747777499739,0.001,0.0001,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_16_seed44_best.pth,/home/anhcbt/extend/workspace/convmixer_model/data/models/convmixer_config_sweep/convmixer_config_sweep_v1/convmixer_512_16_seed44_report.json
